,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Soul,2020,100,8.2,85,50198,
1,It's a Wonderful Life,1946,130,8.6,89,400509,
2,Home Alone,1990,103,7.6,63,477763,285.76
3,A Christmas Story,1983,93,7.9,77,131562,20.61
4,Die Hard,1988,132,8.2,72,785185,83.01
5,Klaus,2019,96,8.2,65,96153,
6,The Sound of Music,1965,172,8.0,63,202339,163.21
7,The Muppet Christmas Carol,1992,85,7.7,64,49631,27.28
8,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,649038,317.58
9,The Gentlemen,2019,113,7.8,51,220545,
10,The Godfather,1972,175,9.2,100,1605567,134.97
11,Knives Out,2019,130,7.9,82,434159,165.36
12,The Nightmare Before Christmas,1993,76,8.0,82,298225,75.08
13,Miracle on 34th Street,1947,96,7.9,88,41101,2.65
14,1917,2019,119,8.3,78,407130,159.23
15,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1647849,315.54
16,Parasite,2019,132,8.6,96,527576,53.37
17,Little Women,2019,135,7.8,91,137281,108.1
18,Rogue One: A Star Wars Story,2016,133,7.8,65,550581,532.18
19,Avengers: Endgame,2019,181,8.4,78,792091,858.37
20,Interstellar,2014,169,8.6,74,1494336,188.02
21,Star Wars: Episode IV - A New Hope,1977,121,8.6,90,1222924,322.74
22,The Shawshank Redemption,1994,142,9.3,80,2324032,28.34
23,Inception,2010,148,8.8,74,2049446,292.58
24,Once Upon a Time... In Hollywood,2019,161,7.6,83,538492,142.5
25,The Wolf of Wall Street,2013,180,8.2,75,1171295,116.9
26,Forrest Gump,1994,142,8.8,82,1792828,330.25
27,The Wizard of Oz,1939,102,8.0,92,370034,2.08
28,Joker,2019,122,8.5,59,916938,335.45
29,The Trial of the Chicago 7,2020,129,7.8,77,74597,
30,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,366204,190.24
31,Jojo Rabbit,2019,108,7.9,58,286940,0.35
32,Harry Potter and the Goblet of Fire,2005,157,7.7,81,543413,290.01
33,Hamilton,2020,160,8.6,90,50794,
34,The Dark Knight,2008,152,9.0,84,2285898,534.86
35,Titanic,1997,194,7.8,75,1038946,659.33
36,Inglourious Basterds,2009,153,8.3,69,1256343,120.54
37,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,943613,309.13
38,Pulp Fiction,1994,154,8.9,94,1812734,107.93
39,The Matrix,1999,136,8.7,73,1663155,171.48
40,Back to the Future,1985,116,8.5,87,1049444,210.61
41,Catch Me If You Can,2002,141,8.1,75,821295,164.62
42,The Prestige,2006,130,8.5,66,1180346,53.09
43,Deadpool,2016,108,8.0,65,896866,363.07
44,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85,757860,381.01
45,Green Book,2018,130,8.2,69,365877,85.08
46,Blade Runner 2049,2017,164,8.0,81,455596,92.05
47,The Lord of the Rings: The Return of the King,2003,201,8.9,94,1631202,377.85
48,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,1150960,290.48
49,Gladiator,2000,155,8.5,67,1331707,187.71
